Name;Cost;HP;ATK;Range;Speed;Mana;Traits;SkillType;SkillStat;Radius;SkillDuration;Target
Achtung Baby;2;87393;2084;3.0;0.99;100;Morioh, Utility;submerge;;;3.6;self
Aerosmith;3;77404;4198;5.0;1.47;90;Bucciarati, Long-Distance;damage;13408;;;enemy_closest
Anubis;1;76324;2514;1.0;0.77;120;Tarot, Bound;buff_atk;2485;;4.8;self
Aqua Necklace;2;115394;3395;1.0;0.86;120;Morioh, Bound;mind_control;;;2;enemy_closest
Atom Heart Father;1;77354;2542;1.0;0.77;120;Morioh, Power Type;stun;;;4.3;enemy_closest
Atum;2;82900;2084;3.0;0.99;100;Tarot, Utility;stat_steal;4942;;5.5;enemy_closest
Baby Face;1;54766;3157;2.0;1.13;100;La Squadra, Automatic;clone;0.25;;;self
Bad Company;4;99226;5343;5.0;1.56;90;Morioh, Long-Distance;aoe_dot;8123;2.7;6.7;area_closest
Bastet;1;81857;2377;1.0;0.8;120;Tarot, Bound;stun;;;4.4;enemy_furthest
Beach Boy;3;142834;4714;1.0;0.89;120;La Squadra, Bound;damage;12630;;;enemy_closest
Black Sabbath;3;95497;6152;2.0;1.15;100;Unita Speciale, Automatic;execute;16440;;;enemy_closest
Boy II Man;2;84194;2045;3.0;1.0;100;Morioh, Utility;stat_steal;4570;;5.5;enemy_random
Burning Down the House;2;88390;2143;3.0;1.02;100;Green Dolphin, Utility;submerge;;;3.6;self
Cinderella;2;82593;2189;3.0;1.0;100;Morioh, Utility;polymorph;;;5.5;enemy_closest
Clash;3;106049;3097;3.0;0.96;100;Unita Speciale, Utility;blink_strike;13019;;;enemy_furthest
C-MOON;4;165163;6399;1.0;1.0;120;Green Dolphin, Power Type;global_slow;;;10;all_enemies
Crazy Diamond;4;167794;6704;1.0;1.03;120;Morioh, Power Type;heal;15674;;;ally_lowest_hp
Cream;4;174554;6287;1.0;1.01;120;Tarot, Bound;banish;;;6.2;enemy_closest
Chariot Requiem;5;219758;8627;1.5;1.09;120;Requiem, Power Type;soul_swap;;;;
Cheap Trick;2;105546;3536;1.0;0.86;120;Morioh, Bound;damage;7877;;;enemy_closest
Dark Blue Moon;2;106225;3442;1.0;0.93;120;Tarot, Power Type;aoe_dot;3305;2.1;4.6;area_closest
Death Thirteen;2;73144;2588;3.0;0.86;80;Tarot, Phenomenon;stun;;;5.3;enemy_random
Diver Down;3;140378;4591;1.0;0.88;120;Green Dolphin, Power Type;hp_shield;0.55;;3.0;self
Dragon's Dream;2;110477;3429;1.0;0.93;120;Green Dolphin, Bound;damage;8030;;;enemy_closest
Earth Wind and Fire;2;86846;2038;3.0;1.01;100;Morioh, Utility;polymorph;;;5.5;enemy_random
Ebony Devil;1;56641;3336;2.0;1.09;100;Tarot, Automatic;damage_link;;;5;enemy_closest
